method,route,category,sourceClassOrFile,responseType,requiredParameters,readOnly,riskClass,currentStatus,usedByPrizm,recommendedUse,migrationPriority,confidence,notes
GET,/status,health,com.powin.turtle.StatusController,text/plain,none,true,safe-read,active,true,keep as coarse heartbeat,4,high,Current PRIZM health probe.
GET,/tools/report/ems/status.json,ems-report,com.powin.turtle.tools.ReportEmsController,application/json,none,true,safe-read,active,true,keep as baseline EMS status,4,high,Already in critical polling paths.
GET,/tools/report/ems/bessStatusCodes.json,ems-report,com.powin.turtle.tools.ReportEmsController,application/json,none,true,safe-read,active,true,keep for fault code catalog,4,high,Useful for code to severity mapping.
GET,/tools/report/ems/controllerStatistics.json,ems-report,com.powin.turtle.tools.ReportEmsController,application/json,none,true,safe-read,active,true,keep for diagnostics/telemetry,4,high,Controller-level telemetry.
GET,/tools/report/ems/lastCall.json,ems-report,com.powin.turtle.tools.ReportEmsController,application/json,none,true,safe-read,active,true,keep for recency and heartbeat correlation,4,high,Already wrapped in cache flow.
GET,/tools/monitor/ems/blockviewer/data,ems-monitor,com.powin.turtle.tools.blockviewer.BlockViewerController,application/json,none,true,safe-read,active,true,keep as primary block topology source,4,high,PR-0015 moved to acquisition framework.
GET,/tools/report/ems/strings.csv,ems-report,com.powin.turtle.tools.ReportEmsController,text/csv,none,true,safe-read,active,true,keep for broad string extraction,4,high,Main bulk string feed in current implementation.
GET,/tools/report/ems/ipMap.json,ems-report,com.powin.turtle.tools.ReportEmsController,application/json,none,true,safe-read,active,true,keep as preferred IP map source,4,high,CSV fallback available in PRIZM.
GET,/tools/report/ems/ipMap.csv,ems-report,com.powin.turtle.tools.ReportEmsController,text/csv,none,true,safe-read,active,true,retain as fallback only,4,high,Used as compatibility fallback.
GET,/tools/report/ems/stringIPMap.json,ems-report,com.powin.turtle.tools.ReportEmsController,application/json,none,true,safe-read,active,true,keep as preferred string IP map,4,high,CSV fallback available in PRIZM.
GET,/tools/report/ems/stringIPMap.csv,ems-report,com.powin.turtle.tools.ReportEmsController,text/csv,none,true,safe-read,active,true,retain as fallback only,4,high,Used as compatibility fallback.
