method,route,category,sourceClassOrFile,responseType,requiredParameters,readOnly,riskClass,currentStatus,usedByPrizm,recommendedUse,migrationPriority,confidence,notes
GET,/feather/status/report.json,feather-status,com.powin.feather.controller.StatusController,application/json,none,True,safe-read,current,True,Primary continuous polling endpoint for Feather/HVAC state,1,high,"Live verified on 10.0.1.3 and 10.0.1.10; includes thermalData, doors, HVAC controls, humidity, temperatures, hydrogen, controller stats. Present in Spring WAR 2.61/2.63; still active in live environment."
GET,/feather/status/internal.json,feather-status-internal,com.powin.feather.controller.StatusController,application/json,none,True,diagnostic-read,diagnostic,False,"On-demand diagnostics for thermostat timers, segment type, lead/lag runtime",2,high,"Live verified; richer internals than report.json, useful for root-cause and controller behavior debugging."
GET,/feather/main/data,feather-main,com.powin.feather.controller.MainController,application/json,none,True,safe-read,current,False,Candidate consolidated read endpoint for detailed doors/HVAC/setpoints fields,2,high,Live verified; appears to expose a model close to UI page data with good consolidation potential.
GET,/feather/main,ui-page,com.powin.feather.controller.MainController,text/html,none,True,diagnostic-read,current,False,Manual UI diagnostics only,5,high,JSP-backed operator page.
GET,/feather/status/json,feather-status,com.powin.feather.controller.StatusController,application/json,none,True,diagnostic-read,legacy,False,Optional compatibility fallback if report.json unavailable,4,medium,Inferred from class strings /status + /json; not live-verified in this pass.
GET,/feather/bergstrom,bergstrom-diagnostics,com.powin.feather.controller.BergstromValuesController,text/html,none,True,diagnostic-read,diagnostic,False,Manual diagnostics page only,5,high,Backed by bergstromValues.jspx.
GET,/feather/bergstrom/restartThermostat,bergstrom-control,com.powin.feather.controller.BergstromValuesController and static/js/feather-bergstromValues.js,text/plain or application/json,none,False,control-write,current,False,Never call automatically,5,high,Explicit thermostat restart control.
GET,/feather/eol/pre/bytest?testPoint={id},eol-diagnostic,com.powin.feather.controller.EolTesterController and static/js/feather-PreEOLFAT.js,application/json,testPoint,True,diagnostic-read,diagnostic,False,Manual QA test verification only,5,high,Readback check endpoint used in EOL flow.
GET,/feather/eol/bypoint?point={id}&on={bool},eol-control,com.powin.feather.controller.EolTesterController and static/js/feather-EOLFAT.js,text/plain or application/json,"point,on",False,control-write,diagnostic,False,Never call automatically,5,high,Used to actuate test points (fans/compressor/reversing valve/emergency ventilation) during EOL FAT.
GET,/feather/eol/adamdiscreteinputs,eol-diagnostic,com.powin.feather.controller.EolTesterController,application/json or text/plain,none,True,diagnostic-read,diagnostic,False,On-demand diagnostics for DI state checks,4,medium,Class-string evidence indicates Adam discrete input endpoint relevant to ioLogik DI monitoring.
"GET,POST",/feather/eol/bergstrom/start,eol-control,com.powin.feather.controller.BergstromEOLTestController,application/json,test options in body,False,control-write,diagnostic,False,Never call automatically,5,medium,EOL test start operation inferred from /eol/bergstrom and /start segments plus PostMapping strings.
"GET,POST",/feather/eol/bergstrom/stop,eol-control,com.powin.feather.controller.BergstromEOLTestController,application/json,none or body depending on handler,False,control-write,diagnostic,False,Never call automatically,5,medium,Test stop control path.
"GET,POST",/feather/eol/bergstrom/power,bergstrom-control,com.powin.feather.controller.BergstromEOLTestController,application/json,likely body/query,False,control-write,diagnostic,False,Never call automatically,5,medium,Power control route segment found in class strings.
"GET,POST",/feather/eol/bergstrom/opmode,bergstrom-control,com.powin.feather.controller.BergstromEOLTestController,application/json,likely body/query,False,control-write,diagnostic,False,Never call automatically,5,medium,Mode control for Bergstrom EOL testing.
"GET,POST",/feather/eol/bergstrom/setpoint,bergstrom-control,com.powin.feather.controller.BergstromEOLTestController,application/json,setpoint payload,False,control-write,diagnostic,False,Never call automatically,5,medium,Setpoint write route segment from class strings.
GET,/feather/simulate,simulation-ui,com.powin.feather.controller.SimulatingController and static/js/feather-simulated.js,text/html,none,True,diagnostic-read,diagnostic,True,UI/manual simulation page only,5,high,PRIZM HVAC simulation tooling references this namespace; not for telemetry polling.
GET,/feather/simulate/status/{key},simulation-diagnostic,com.powin.feather.controller.SimulatingController,application/json or text/plain,key,True,diagnostic-read,diagnostic,False,On-demand simulation inspection only,5,medium,Status query in simulation namespace.
GET,/feather/simulate/get/{key},simulation-diagnostic,com.powin.feather.controller.SimulatingController,application/json or text/plain,key,True,diagnostic-read,diagnostic,False,On-demand simulation inspection only,5,medium,Read simulated value by key.
GET,/feather/simulate/clearall,simulation-control,com.powin.feather.controller.SimulatingController and static/js/feather-simulated.js,text/plain or application/json,none,False,control-write,diagnostic,True,Manual simulation cleanup only,5,high,State-mutating simulation reset.
"GET,POST",/feather/simulate/set/{key}/{value},simulation-control,com.powin.feather.controller.SimulatingController,text/plain or application/json,"key,value",False,control-write,diagnostic,True,Manual simulation only,5,high,Sets simulated values.
"GET,POST",/feather/simulate/clear/{key},simulation-control,com.powin.feather.controller.SimulatingController,text/plain or application/json,key,False,control-write,diagnostic,True,Manual simulation only,5,high,Clears one simulated value key.
"GET,POST",/feather/simulate/use/{key},simulation-control,com.powin.feather.controller.SimulatingController,text/plain or application/json,key,False,control-write,diagnostic,True,Manual simulation only,5,medium,Class-string route candidate in simulation namespace.
POST,/feather/fw/trigger,firmware-control,com.powin.feather.controller.FeatherFirmwareController,application/json,firmware trigger request body,False,configuration-write,current,False,Never auto-call,5,high,Firmware update trigger endpoint.
"GET,POST",/feather/protocol/command,protocol-control,com.powin.feather.controller.FeatherProtocolController,application/json or protobuf bridge,command payload,False,control-write,current,False,Never auto-call,5,high,Dragon to Feather command bridge.
"GET,POST",/feather/protocol/thermostat/control,protocol-control,com.powin.feather.controller.FeatherProtocolController,application/json,thermostat control payload,False,control-write,current,False,Never auto-call,5,high,Thermostat control path.
GET,/feather/protocol/team/report,team-diagnostic,com.powin.feather.controller.FeatherProtocolController,application/json,none,True,diagnostic-read,diagnostic,False,On-demand diagnostics if needed,4,medium,Team report route candidate from class strings.
"GET,POST",/feather/team/configuration,team-configuration,com.powin.feather.controller.FeatherProtocolController,application/json,team configuration payload,False,configuration-write,current,False,Never auto-call,5,medium,Configuration endpoint family.
"GET,POST",/feather/d2f/remotecommand,remote-command,com.powin.feather.controller.FromDragonToFeatherController,application/json,remote command payload,False,control-write,hidden,False,Never auto-call,5,high,Remote command executor bridge endpoint.
GET,/feather/d2f/filelist,file-diagnostic,com.powin.feather.controller.FromDragonToFeatherController,application/json or text/plain,optional filters,True,diagnostic-read,hidden,False,Manual diagnostics only,5,medium,Potential file listing utility endpoint; security-sensitive.
GET,/feather/d2f/filegrab,file-diagnostic,com.powin.feather.controller.FromDragonToFeatherController,application/octet-stream,file identifier/path,True,diagnostic-read,hidden,False,Manual diagnostics only,5,medium,May expose file retrieval; treat as sensitive diagnostic.
RESOURCE,resource://default.properties,profile-configuration,WEB-INF/classes/default.properties,properties-file,none,True,safe-read,current,False,Import as capability/profile hints for auto-discovery and validation thresholds,2,high,"Contains modbus slave IDs for HVAC/mio/sensors, poll delays, thermostat mode, config package directory, firmware trigger directory, resource thresholds."
RESOURCE,resource://META-INF/MANIFEST.MF,build-identity,META-INF/MANIFEST.MF in each feather.war,manifest,none,True,safe-read,current,False,Use for version/build gating and compatibility checks,3,high,"Provides Implementation-Version and Specification-Version; observed 2.61.18, 2.63.19, 2.72.7, 2.73.18 variants."
GET,/public/feather/*,spark-public-routes,com.powin.servlet.SparkApp and /public/feather static mapping in WAR 2.72/2.73,unknown,unknown,unknown,unknown,current,False,Treat as unknown until Spark route table is decompiled from dependent jars,4,medium,Newer Spark-based Feather WARs no longer expose Spring controllers in top-level classes; endpoints likely registered inside bundled application libraries.
